,location,property_type,size_sqft,num_bedroom,num_bathroom,floor_num,total_floor,age_years,furnishing,amenities,distance_to_metro_km,view_score,price
P10039,Jaipur,Penthouse,3650,3,4,14,29,9,Fully Furnished,"['Gym', 'Elevator', 'Security', 'Parking']",7.63,7,18874591.82
P10040,Jaipur,Studio,3402,1,4,2,23,13,Unfurnished,"['Garden', 'Gym', 'Swimming Pool']",9.79,9,4965835.99
P10041,Chennai,Studio,1429,1,4,10,16,5,Unfurnished,"['Gym', 'Elevator', 'Swimming Pool']",6,6,22333950.49
P10042,Kolkata,Penthouse,2133,4,3,11,23,10,Semi Furnished,"['Swimming Pool', 'Gym', 'Garden', 'Club House', 'Parking']",4.14,8,10592229.53
P10043,Delhi,Independent House,3422,2,1,15,19,18,Semi Furnished,"['Parking', 'Swimming Pool', 'Security', 'Power Backup', 'Gym']",3.88,2,46498823.86
P10044,Ahmedabad,Villa,2605,4,4,1,27,9,Semi Furnished,"['Parking', 'Power Backup', 'Elevator', 'Club House', 'Gym', 'Security']",6.72,6,48900860.74
P10045,Delhi,Apartment,1633,2,3,3,26,19,Semi Furnished,"['Wi-Fi', 'Elevator', 'Gym', 'Garden', 'Club House']",3.37,6,43761920.45
P10046,Jaipur,Studio,2741,2,3,8,25,4,Semi Furnished,"['Security', 'Elevator', 'Gym']",9.39,4,18538416.46
P10047,Hyderabad,Apartment,899,2,1,19,18,18,Unfurnished,"['Club House', 'Power Backup', 'Gym', 'Garden', 'Wi-Fi', 'Security']",7.1,9,48843709.87
P10048,Jaipur,Penthouse,1056,5,1,18,13,20,Semi Furnished,"['Parking', 'Club House', 'Elevator', 'Power Backup']",7.22,3,4546901.11
P10049,Bangalore,Penthouse,680,4,2,9,30,5,Semi Furnished,"['Security', 'Elevator', 'Club House', 'Swimming Pool']",7.63,10,3057427.14
P10050,Kolkata,Penthouse,4185,5,4,6,16,14,Fully Furnished,"['Security', 'Swimming Pool', 'Gym', 'Club House']",2.24,8,49827403.52
P10051,Chandigarh,Studio,3165,2,4,13,21,16,Unfurnished,"['Gym', 'Power Backup', 'Garden', 'Parking', 'Security']",3.78,4,24846272.1
P10052,Bangalore,Villa,2095,4,1,16,7,17,Unfurnished,"['Power Backup', 'Wi-Fi', 'Gym']",2.35,9,18374401.54
P10053,Chennai,Independent House,4777,3,3,7,9,3,Fully Furnished,"['Parking', 'Elevator', 'Club House']",5.53,9,23039593.72
P10054,Mumbai,Apartment,2126,1,3,11,21,5,Semi Furnished,"['Wi-Fi', 'Security', 'Gym', 'Power Backup', 'Club House']",4.71,6,1286611.55
P10055,Delhi,Independent House,1839,3,2,3,10,7,Unfurnished,"['Security', 'Garden', 'Wi-Fi']",2.72,1,31811393.14
P10056,Bangalore,Independent House,2174,2,1,11,23,9,Semi Furnished,"['Gym', 'Security', 'Swimming Pool']",9.99,3,9440879.23
P10057,Ahmedabad,Studio,2913,4,3,13,22,15,Semi Furnished,"['Gym', 'Security', 'Swimming Pool', 'Garden', 'Wi-Fi']",7.91,6,17262763.58
P10058,Hyderabad,Apartment,4479,5,4,2,27,20,Fully Furnished,"['Parking', 'Swimming Pool', 'Wi-Fi', 'Security', 'Garden']",8.5,10,36146904.1
P10059,Bangalore,Duplex,2193,4,1,19,30,0,Fully Furnished,"['Club House', 'Elevator', 'Gym', 'Power Backup']",8.54,3,24232628.38
P10060,Hyderabad,Penthouse,4215,1,3,2,15,2,Unfurnished,"['Power Backup', 'Parking', 'Club House']",6.11,2,24926087.61
P10061,Hyderabad,Villa,4804,3,4,8,24,13,Unfurnished,"['Power Backup', 'Wi-Fi', 'Elevator', 'Parking']",2.67,8,43125220.75
P10062,Ahmedabad,Independent House,1874,3,2,15,19,11,Semi Furnished,"['Wi-Fi', 'Club House', 'Security', 'Power Backup', 'Garden', 'Swimming Pool']",9.62,9,36796870.1
P10063,Mumbai,Penthouse,4512,2,1,20,20,19,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Wi-Fi', 'Security', 'Garden']",4.46,6,4376524
P10064,Pune,Duplex,699,1,3,6,22,1,Unfurnished,"['Elevator', 'Parking', 'Security', 'Club House', 'Wi-Fi', 'Gym']",7.43,4,6537550.52
P10065,Mumbai,Duplex,3761,3,3,16,9,18,Fully Furnished,"['Elevator', 'Power Backup', 'Gym', 'Swimming Pool', 'Parking', 'Security']",2.1,6,47626414.44
P10066,Pune,Villa,4252,3,1,11,12,18,Fully Furnished,"['Garden', 'Gym', 'Wi-Fi', 'Swimming Pool', 'Security', 'Parking']",2.94,2,15361335.88
P10067,Chandigarh,Penthouse,3636,2,2,9,15,5,Semi Furnished,"['Club House', 'Swimming Pool', 'Wi-Fi', 'Security']",5.14,6,41972485.26
P10068,Hyderabad,Independent House,2024,1,3,7,29,5,Unfurnished,"['Club House', 'Security', 'Elevator', 'Garden']",8.15,6,31728061.38
P10069,Ahmedabad,Villa,3093,2,2,6,16,13,Unfurnished,"['Swimming Pool', 'Security', 'Wi-Fi']",3.78,8,31698858.16
P10070,Pune,Duplex,3800,2,3,5,16,19,Unfurnished,"['Security', 'Swimming Pool', 'Club House', 'Power Backup']",4.9,7,47771956.68
P10071,Mumbai,Independent House,1189,5,2,13,18,9,Semi Furnished,"['Parking', 'Power Backup', 'Wi-Fi', 'Club House', 'Elevator']",1.75,6,677360.1
P10072,Bangalore,Penthouse,716,3,4,14,24,19,Fully Furnished,"['Swimming Pool', 'Wi-Fi', 'Power Backup', 'Parking', 'Security', 'Elevator']",6.13,5,7291457.85
P10073,Kolkata,Penthouse,3347,4,4,16,26,18,Unfurnished,"['Club House', 'Gym', 'Elevator', 'Parking']",5.09,1,13583853.61
P10074,Pune,Villa,2814,2,2,8,27,17,Semi Furnished,"['Elevator', 'Swimming Pool', 'Garden']",3.45,8,31906628.32
P10075,Pune,Independent House,1861,3,3,8,19,0,Semi Furnished,"['Elevator', 'Garden', 'Swimming Pool', 'Power Backup', 'Gym']",8.91,10,35273982.67
P10076,Hyderabad,Penthouse,2773,1,2,20,14,19,Fully Furnished,"['Power Backup', 'Swimming Pool', 'Wi-Fi', 'Gym', 'Garden', 'Club House']",3.05,9,16406000.02
P10077,Pune,Studio,635,3,4,16,14,17,Unfurnished,"['Wi-Fi', 'Elevator', 'Gym', 'Security', 'Swimming Pool', 'Garden']",2.92,5,34721622.59
P10078,Mumbai,Villa,4233,1,2,1,28,18,Unfurnished,"['Swimming Pool', 'Garden', 'Power Backup', 'Club House', 'Wi-Fi', 'Parking']",4.86,4,30065989.82
P10079,Chandigarh,Villa,1737,4,3,13,17,11,Unfurnished,"['Club House', 'Elevator', 'Wi-Fi']",8.21,6,5862367.09
P10080,Kolkata,Studio,2966,1,1,17,5,3,Fully Furnished,"['Club House', 'Wi-Fi', 'Security', 'Elevator']",0.54,5,41943594.49
P10081,Mumbai,Studio,2309,3,1,17,14,7,Unfurnished,"['Club House', 'Swimming Pool', 'Power Backup', 'Security']",8.12,1,49931015.73
P10082,Jaipur,Duplex,4184,4,2,6,14,10,Fully Furnished,"['Power Backup', 'Elevator', 'Parking']",5.5,4,11435291.35
P10083,Pune,Independent House,3198,5,1,11,12,13,Unfurnished,"['Garden', 'Power Backup', 'Security', 'Gym']",8.65,1,20736707.85
P10084,Hyderabad,Duplex,1144,5,2,19,29,10,Semi Furnished,"['Gym', 'Swimming Pool', 'Power Backup']",2.14,8,14221474.59
P10085,Pune,Villa,4854,3,4,7,10,12,Semi Furnished,"['Power Backup', 'Elevator', 'Garden', 'Wi-Fi', 'Club House']",1.41,3,35286675.64
P10086,Pune,Studio,1637,4,3,18,25,3,Unfurnished,"['Elevator', 'Power Backup', 'Club House']",2.91,6,20436905.89
P10087,Ahmedabad,Apartment,930,5,1,18,5,16,Semi Furnished,"['Wi-Fi', 'Club House', 'Parking']",5.36,7,17023173.1
P10088,Mumbai,Studio,2402,5,2,1,25,12,Semi Furnished,"['Elevator', 'Club House', 'Garden']",0.94,3,13904649.49
P10089,Pune,Duplex,2590,3,4,11,7,9,Fully Furnished,"['Elevator', 'Gym', 'Power Backup', 'Garden', 'Wi-Fi', 'Security']",2.24,6,21408991.89
P10090,Pune,Penthouse,3490,5,1,10,14,16,Fully Furnished,"['Gym', 'Wi-Fi', 'Swimming Pool']",5.95,7,32471764.55
P10091,Jaipur,Duplex,4096,5,2,2,10,7,Semi Furnished,"['Gym', 'Wi-Fi', 'Security', 'Garden', 'Club House', 'Parking']",9.31,2,7982192.37
P10092,Pune,Studio,1017,4,3,14,20,2,Fully Furnished,"['Gym', 'Security', 'Power Backup', 'Wi-Fi', 'Elevator', 'Garden']",1.21,3,21978155.06
P10093,Chandigarh,Penthouse,4663,5,1,14,25,16,Semi Furnished,"['Elevator', 'Parking', 'Club House', 'Gym']",8.88,5,26909695.16
P10094,Hyderabad,Duplex,3987,1,1,20,7,4,Fully Furnished,"['Gym', 'Security', 'Club House', 'Wi-Fi', 'Swimming Pool']",2,9,47787089.43
P10095,Bangalore,Penthouse,4764,5,1,8,30,8,Fully Furnished,"['Club House', 'Garden', 'Elevator', 'Wi-Fi', 'Security', 'Power Backup']",9.68,1,22214721.93
P10096,Mumbai,Independent House,1783,5,2,10,26,3,Unfurnished,"['Gym', 'Wi-Fi', 'Garden', 'Swimming Pool', 'Parking', 'Club House']",5.34,2,8870433.99
P10097,Ahmedabad,Penthouse,3621,5,3,18,26,10,Unfurnished,"['Parking', 'Elevator', 'Swimming Pool', 'Gym', 'Wi-Fi', 'Power Backup']",3.63,10,45525185.84
P10098,Mumbai,Villa,1931,3,3,11,27,20,Semi Furnished,"['Swimming Pool', 'Club House', 'Elevator']",5.25,10,25279954.49
P10099,Pune,Studio,2049,2,4,6,21,4,Fully Furnished,"['Power Backup', 'Garden', 'Club House']",0.77,7,17799363.02
P10100,Ahmedabad,Apartment,1400,1,3,9,10,7,Fully Furnished,"['Power Backup', 'Parking', 'Security', 'Wi-Fi', 'Elevator']",9.1,1,4424592.66
P10101,Ahmedabad,Studio,578,1,4,11,10,12,Semi Furnished,"['Swimming Pool', 'Elevator', 'Club House', 'Wi-Fi', 'Parking', 'Power Backup']",7.43,10,29716767.24
P10102,Jaipur,Studio,1549,1,1,6,5,19,Unfurnished,"['Power Backup', 'Gym', 'Wi-Fi', 'Garden', 'Club House']",4.79,5,37596330.35
P10103,Pune,Independent House,3261,5,2,10,16,19,Fully Furnished,"['Parking', 'Garden', 'Security', 'Power Backup', 'Wi-Fi']",4.29,5,23131352.55
P10104,Ahmedabad,Duplex,1805,4,1,1,18,11,Fully Furnished,"['Parking', 'Swimming Pool', 'Club House', 'Wi-Fi', 'Power Backup', 'Garden']",5.37,1,16569349.05
P10105,Mumbai,Villa,3823,1,1,8,12,20,Fully Furnished,"['Parking', 'Gym', 'Garden', 'Wi-Fi', 'Security', 'Power Backup']",4.52,8,8262250.41
P10106,Chandigarh,Villa,3909,3,1,20,20,13,Fully Furnished,"['Gym', 'Security', 'Parking']",2.59,4,19500389.79
P10107,Hyderabad,Apartment,1357,1,3,13,5,4,Unfurnished,"['Parking', 'Elevator', 'Power Backup', 'Wi-Fi', 'Security', 'Club House']",9.51,5,37685789.87
P10108,Delhi,Duplex,3937,4,1,17,14,0,Fully Furnished,"['Elevator', 'Power Backup', 'Gym']",4.35,2,19640760.35
P10109,Ahmedabad,Independent House,3335,2,4,2,21,19,Fully Furnished,"['Security', 'Parking', 'Garden']",4.26,8,28355546.78
P10110,Jaipur,Studio,820,1,2,10,27,18,Fully Furnished,"['Club House', 'Gym', 'Wi-Fi']",3.77,5,39935959.78
P10111,Ahmedabad,Duplex,3002,2,1,16,18,17,Semi Furnished,"['Garden', 'Wi-Fi', 'Swimming Pool']",7.54,3,34635679.25
P10112,Kolkata,Apartment,3081,2,1,13,11,14,Semi Furnished,"['Club House', 'Swimming Pool', 'Gym']",4,1,45247195.68
P10113,Bangalore,Penthouse,3676,2,2,20,14,5,Fully Furnished,"['Gym', 'Garden', 'Security', 'Swimming Pool', 'Wi-Fi', 'Elevator']",8.86,2,31417083.89
P10114,Hyderabad,Duplex,2939,1,1,19,25,18,Unfurnished,"['Elevator', 'Garden', 'Security', 'Parking', 'Wi-Fi']",2.87,4,20108546.77
P10115,Chennai,Penthouse,4411,3,2,19,13,7,Unfurnished,"['Elevator', 'Gym', 'Parking', 'Security', 'Swimming Pool', 'Garden']",5.73,6,20169169.87
P10116,Jaipur,Villa,4542,5,4,6,11,17,Fully Furnished,"['Power Backup', 'Club House', 'Garden', 'Swimming Pool']",6.64,10,36089597.58
P10117,Hyderabad,Villa,1400,2,3,9,15,2,Unfurnished,"['Elevator', 'Security', 'Wi-Fi', 'Swimming Pool', 'Power Backup']",7.64,2,39785989.09
P10118,Delhi,Duplex,793,1,1,4,21,18,Fully Furnished,"['Club House', 'Wi-Fi', 'Elevator']",5.53,2,36112565.97
P10119,Mumbai,Apartment,1962,1,2,12,30,6,Semi Furnished,"['Swimming Pool', 'Security', 'Power Backup', 'Garden']",5.96,1,25451890.13
P10120,Mumbai,Penthouse,809,3,4,15,5,19,Unfurnished,"['Power Backup', 'Parking', 'Garden', 'Club House', 'Security', 'Gym']",3.98,8,18671403.09
P10121,Kolkata,Villa,4023,2,1,16,24,7,Fully Furnished,"['Security', 'Garden', 'Elevator', 'Power Backup']",9.21,10,45989875.47
P10122,Hyderabad,Independent House,1143,2,3,10,26,8,Unfurnished,"['Elevator', 'Security', 'Power Backup', 'Gym', 'Club House', 'Wi-Fi']",6.9,2,47318028.12
P10123,Chandigarh,Villa,2918,3,4,4,29,19,Unfurnished,"['Garden', 'Parking', 'Gym', 'Security', 'Elevator']",3.81,10,40782356.02
P10124,Chandigarh,Penthouse,4315,3,4,5,22,19,Semi Furnished,"['Parking', 'Club House', 'Wi-Fi']",0.85,8,40555942.75
P10125,Hyderabad,Villa,4293,3,1,18,22,15,Unfurnished,"['Power Backup', 'Security', 'Gym']",2.06,10,38963296.68
P10126,Jaipur,Duplex,4774,1,3,3,8,3,Unfurnished,"['Garden', 'Elevator', 'Security', 'Parking', 'Swimming Pool', 'Gym']",3.08,2,19116665.47
P10127,Chennai,Independent House,1763,3,4,14,9,12,Fully Furnished,"['Garden', 'Gym', 'Power Backup']",6.96,5,23163707.42
P10128,Ahmedabad,Studio,4912,2,3,1,30,7,Fully Furnished,"['Swimming Pool', 'Gym', 'Parking', 'Power Backup', 'Wi-Fi']",0.8,8,48331712.01
P10129,Kolkata,Duplex,1781,2,4,3,6,7,Unfurnished,"['Security', 'Garden', 'Parking']",9.62,3,8373477.62
P10130,Ahmedabad,Studio,4709,4,4,4,25,16,Unfurnished,"['Gym', 'Swimming Pool', 'Elevator']",7.77,9,40242125.46
P10131,Ahmedabad,Independent House,1094,5,4,1,26,10,Semi Furnished,"['Power Backup', 'Security', 'Club House', 'Wi-Fi', 'Parking']",1.55,2,33561919.26
P10132,Delhi,Villa,3700,1,4,2,22,12,Unfurnished,"['Club House', 'Security', 'Wi-Fi', 'Gym', 'Power Backup', 'Elevator']",9.71,8,5610453.71
P10133,Kolkata,Duplex,4241,4,4,11,17,19,Fully Furnished,"['Wi-Fi', 'Garden', 'Swimming Pool']",4.3,7,35942315.81
P10134,Pune,Penthouse,2876,2,2,5,27,6,Semi Furnished,"['Club House', 'Swimming Pool', 'Wi-Fi', 'Garden', 'Elevator', 'Power Backup']",6.4,10,29896458
P10135,Kolkata,Independent House,3525,4,4,3,19,16,Unfurnished,"['Swimming Pool', 'Parking', 'Security', 'Club House', 'Gym']",5.56,10,7356138.29
P10136,Delhi,Villa,1997,1,1,2,6,19,Unfurnished,"['Power Backup', 'Garden', 'Elevator', 'Swimming Pool', 'Wi-Fi', 'Parking']",3.3,1,6465885.23
P10137,Hyderabad,Villa,3701,5,4,16,13,10,Semi Furnished,"['Swimming Pool', 'Elevator', 'Gym', 'Power Backup']",2.1,5,31240921.75
P10138,Chandigarh,Apartment,1145,5,4,10,8,8,Fully Furnished,"['Parking', 'Wi-Fi', 'Power Backup', 'Club House', 'Swimming Pool', 'Security']",1.33,7,30477981.01
P10139,Delhi,Apartment,4914,1,2,8,14,0,Fully Furnished,"['Wi-Fi', 'Gym', 'Power Backup']",9.87,5,19261504.02
P10140,Jaipur,Studio,4615,1,2,10,17,20,Semi Furnished,"['Parking', 'Gym', 'Security', 'Power Backup', 'Wi-Fi']",8.32,8,18301403.42
P10141,Hyderabad,Duplex,3273,5,4,17,22,19,Fully Furnished,"['Swimming Pool', 'Club House', 'Wi-Fi', 'Garden', 'Security', 'Gym']",1.43,7,18524076.09
P10142,Ahmedabad,Duplex,2551,2,2,17,15,18,Unfurnished,"['Garden', 'Parking', 'Gym', 'Club House', 'Swimming Pool']",7.2,10,23648873.11
P10143,Chandigarh,Apartment,4795,3,3,11,14,20,Fully Furnished,"['Parking', 'Power Backup', 'Gym', 'Garden', 'Club House', 'Swimming Pool']",3.91,8,31993464.77
P10144,Bangalore,Studio,4805,3,1,8,22,12,Fully Furnished,"['Garden', 'Club House', 'Elevator', 'Wi-Fi', 'Parking']",0.85,8,11240840.69
P10145,Chennai,Independent House,2654,3,4,14,21,7,Fully Furnished,"['Parking', 'Power Backup', 'Elevator', 'Swimming Pool']",9.26,4,34478807.08
P10146,Bangalore,Duplex,4393,1,3,19,22,20,Fully Furnished,"['Elevator', 'Garden', 'Power Backup', 'Wi-Fi']",6.8,9,18227972.48
P10147,Bangalore,Apartment,4305,5,2,12,14,0,Unfurnished,"['Parking', 'Wi-Fi', 'Elevator', 'Swimming Pool', 'Security', 'Power Backup']",7.61,4,47601328.87
P10148,Chennai,Independent House,1131,1,1,17,15,9,Fully Furnished,"['Swimming Pool', 'Power Backup', 'Club House', 'Gym', 'Garden', 'Security']",7.41,4,38171797.52
P10149,Hyderabad,Independent House,1466,1,4,11,29,1,Fully Furnished,"['Elevator', 'Gym', 'Parking', 'Security', 'Swimming Pool', 'Wi-Fi']",9.97,3,40345882.64
P10150,Chandigarh,Duplex,1780,5,1,14,7,19,Semi Furnished,"['Garden', 'Parking', 'Swimming Pool', 'Elevator']",8.97,8,2369125.26
P10151,Delhi,Apartment,2381,3,4,4,15,16,Unfurnished,"['Garden', 'Power Backup', 'Gym']",1.27,10,3550028.82
P10152,Jaipur,Duplex,2903,4,4,15,28,17,Semi Furnished,"['Parking', 'Elevator', 'Wi-Fi']",7.76,7,14049885.86
P10153,Delhi,Independent House,1015,2,1,20,29,17,Unfurnished,"['Club House', 'Parking', 'Security', 'Wi-Fi']",1.39,5,31499107.8
P10154,Delhi,Independent House,4892,5,4,2,11,8,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Security']",4.21,6,47490582.85
P10155,Bangalore,Studio,1965,1,4,3,22,4,Fully Furnished,"['Wi-Fi', 'Gym', 'Elevator', 'Parking', 'Power Backup', 'Security']",4.15,7,48714467.86
P10156,Hyderabad,Villa,2984,4,3,4,29,2,Fully Furnished,"['Power Backup', 'Wi-Fi', 'Parking', 'Garden']",6.06,8,14629607
P10157,Ahmedabad,Duplex,2577,1,3,20,28,17,Semi Furnished,"['Club House', 'Security', 'Swimming Pool', 'Garden']",4.49,2,27220140.98
P10158,Delhi,Studio,597,3,2,2,6,13,Unfurnished,"['Power Backup', 'Club House', 'Security', 'Elevator', 'Parking', 'Wi-Fi']",4.9,6,15307193.01
P10159,Ahmedabad,Apartment,1696,2,3,8,20,12,Fully Furnished,"['Gym', 'Security', 'Swimming Pool', 'Power Backup', 'Parking', 'Garden']",1.22,9,21535328.86
P10160,Hyderabad,Independent House,805,3,3,7,10,1,Semi Furnished,"['Swimming Pool', 'Parking', 'Gym', 'Security']",6.65,5,36752379.09
P10161,Chennai,Villa,2276,2,3,2,18,16,Unfurnished,"['Security', 'Parking', 'Club House']",9.33,3,29406847.9
P10162,Hyderabad,Penthouse,4161,1,1,18,10,1,Fully Furnished,"['Swimming Pool', 'Parking', 'Club House']",0.66,3,37572498.02
P10163,Hyderabad,Studio,675,4,2,15,27,7,Semi Furnished,"['Power Backup', 'Garden', 'Club House']",5.19,4,40897357.57
P10164,Hyderabad,Duplex,3301,4,2,19,9,5,Unfurnished,"['Parking', 'Wi-Fi', 'Garden', 'Power Backup']",4.08,4,31412239.71
P10165,Jaipur,Studio,1700,3,3,12,25,7,Unfurnished,"['Wi-Fi', 'Parking', 'Swimming Pool', 'Power Backup', 'Club House', 'Security']",1.99,1,13199397.04
P10166,Bangalore,Villa,3225,5,1,11,8,18,Unfurnished,"['Club House', 'Parking', 'Swimming Pool', 'Wi-Fi', 'Garden', 'Power Backup']",1.28,2,35128477.66
P10167,Chennai,Penthouse,1252,4,3,7,10,17,Fully Furnished,"['Security', 'Garden', 'Power Backup', 'Parking', 'Elevator', 'Swimming Pool']",1.38,10,47562848.7
P10168,Hyderabad,Penthouse,4350,4,3,18,5,7,Unfurnished,"['Swimming Pool', 'Elevator', 'Gym']",8.61,6,38281968.85
P10169,Jaipur,Apartment,517,1,1,3,9,15,Unfurnished,"['Elevator', 'Swimming Pool', 'Security', 'Club House', 'Gym', 'Garden']",2.82,7,3149007.57
P10170,Bangalore,Apartment,2761,2,4,4,21,13,Fully Furnished,"['Gym', 'Swimming Pool', 'Power Backup', 'Wi-Fi', 'Elevator', 'Club House']",2.86,5,17860063.51
P10171,Chandigarh,Studio,2827,5,1,7,15,5,Unfurnished,"['Power Backup', 'Gym', 'Elevator', 'Security']",5.28,8,34172962.99
