X,location,property_type,size_sqft,num_bedroom,num_bathroom,floor_num,total_floor,age_years,furnishing,amenities,distance_to_metro_km,view_score,price
P76364,Chennai,Independent House,5000,5,3,3,15,20,Unfurnished,"['Security', 'Parking', 'Gym']",6.15,9,29881769.26
P94754,Ahmedabad,Penthouse,3548,4,3,6,22,8,Unfurnished,"['Security', 'Wi-Fi', 'Gym', 'Club House', 'Garden']",9.78,7,26458794.27
P81479,Chandigarh,Apartment,4706,2,2,12,25,20,Unfurnished,"['Power Backup', 'Wi-Fi', 'Swimming Pool']",9.38,2,37986218.38
P53532,Kolkata,Duplex,696,3,1,10,19,19,Unfurnished,"['Club House', 'Wi-Fi', 'Parking']",1.65,6,38106835.04
P39306,Chennai,Apartment,2372,4,2,7,7,14,Unfurnished,"['Parking', 'Power Backup', 'Garden', 'Wi-Fi', 'Club House']",3.69,8,46411676.91
P88071,Mumbai,Villa,960,1,3,20,29,3,Fully Furnished,"['Club House', 'Parking', 'Garden', 'Power Backup']",1.88,2,30716808.47
P61975,Chennai,Duplex,4431,5,2,3,20,12,Fully Furnished,"['Security', 'Parking', 'Elevator']",7.26,1,26087138.08
P94306,Bangalore,Studio,3197,2,3,14,12,17,Unfurnished,"['Garden', 'Security', 'Power Backup', 'Parking', 'Swimming Pool', 'Club House']",2.18,7,38395446.54
P22344,Kolkata,Villa,3523,5,1,13,15,8,Semi Furnished,"['Garden', 'Security', 'Parking', 'Elevator', 'Club House']",3.57,7,30631386.74
P17342,Chandigarh,Villa,1011,5,2,7,26,3,Unfurnished,"['Parking', 'Wi-Fi', 'Swimming Pool', 'Security', 'Club House']",4.86,7,41950488.29
P57653,Kolkata,Independent House,4495,4,4,9,6,19,Fully Furnished,"['Elevator', 'Swimming Pool', 'Club House', 'Wi-Fi', 'Power Backup']",5.3,6,4625119.07
P35599,Pune,Duplex,756,4,2,16,13,7,Fully Furnished,"['Club House', 'Swimming Pool', 'Power Backup', 'Wi-Fi', 'Security', 'Gym']",1.84,4,39876746.71
P78212,Bangalore,Duplex,939,5,1,19,24,17,Unfurnished,"['Parking', 'Gym', 'Security', 'Garden', 'Club House', 'Power Backup']",2.35,1,38443621.2
P16365,Kolkata,Villa,639,2,4,2,25,19,Semi Furnished,"['Swimming Pool', 'Garden', 'Elevator', 'Gym']",9.29,10,21602032.95
P100882,Ahmedabad,Villa,1124,1,4,7,12,3,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Garden', 'Elevator', 'Power Backup']",8.62,3,16948447.4
P23323,Pune,Penthouse,666,4,1,7,8,18,Fully Furnished,"['Gym', 'Power Backup', 'Wi-Fi', 'Elevator', 'Security']",4.77,2,26953088.06
P56083,Hyderabad,Apartment,936,4,3,15,5,14,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Club House', 'Parking', 'Gym', 'Garden']",5.16,7,11855050.67
P70664,Chennai,Villa,2318,3,4,8,20,3,Fully Furnished,"['Club House', 'Power Backup', 'Security']",7.6,9,7881388.01
P54814,Delhi,Penthouse,2324,3,3,20,9,14,Fully Furnished,"['Swimming Pool', 'Club House', 'Garden', 'Wi-Fi']",7.99,3,34385943.67
P12758,Hyderabad,Independent House,1488,4,2,3,10,20,Unfurnished,"['Garden', 'Club House', 'Parking', 'Elevator', 'Swimming Pool']",3.54,3,21007817.12
P64589,Chandigarh,Duplex,2562,4,2,19,18,16,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Garden', 'Club House']",8.36,6,21139860.53
P32704,Mumbai,Independent House,2520,2,2,12,14,8,Fully Furnished,"['Parking', 'Wi-Fi', 'Swimming Pool', 'Power Backup', 'Garden', 'Security']",6.57,2,22477372.09
P21061,Pune,Studio,4561,1,3,4,18,4,Fully Furnished,"['Elevator', 'Security', 'Club House', 'Gym']",4.43,6,3005482.56
P33982,Bangalore,Duplex,1435,4,3,3,6,8,Semi Furnished,"['Wi-Fi', 'Security', 'Parking', 'Swimming Pool']",3.41,10,44336605.46
P92829,Jaipur,Independent House,1331,3,4,11,27,20,Semi Furnished,"['Club House', 'Gym', 'Parking', 'Elevator', 'Wi-Fi', 'Swimming Pool']",2.22,1,36417692.16
P54864,Pune,Independent House,4576,3,3,6,23,0,Fully Furnished,"['Club House', 'Swimming Pool', 'Parking', 'Security', 'Power Backup']",6.95,10,35609656.8
P37910,Ahmedabad,Apartment,3693,2,4,8,30,11,Fully Furnished,"['Swimming Pool', 'Parking', 'Elevator', 'Gym', 'Club House', 'Power Backup']",3.5,7,46404119.3
P108762,Mumbai,Duplex,958,1,1,18,13,10,Semi Furnished,"['Elevator', 'Wi-Fi', 'Power Backup', 'Garden', 'Club House']",3.54,2,26133401.23
P100729,Bangalore,Independent House,4019,2,4,20,6,18,Unfurnished,"['Power Backup', 'Parking', 'Garden', 'Club House', 'Gym']",6.66,1,47684492.25
P43119,Jaipur,Apartment,4407,2,3,2,22,13,Fully Furnished,"['Security', 'Garden', 'Power Backup']",9.11,9,10014056.47
P87016,Chandigarh,Duplex,2294,3,1,17,5,2,Fully Furnished,"['Security', 'Power Backup', 'Garden', 'Parking', 'Wi-Fi', 'Elevator']",7.76,8,33958896.01
P53094,Mumbai,Apartment,4112,5,2,18,12,11,Semi Furnished,"['Garden', 'Swimming Pool', 'Wi-Fi', 'Power Backup', 'Parking']",7.72,3,24429446.3
P33915,Pune,Penthouse,2955,3,3,18,9,2,Semi Furnished,"['Security', 'Parking', 'Gym', 'Club House', 'Garden']",2.73,8,15038702.43
P49037,Kolkata,Duplex,1403,1,1,3,10,2,Unfurnished,"['Club House', 'Swimming Pool', 'Gym']",7.54,8,2971774.72
P70581,Hyderabad,Duplex,3124,3,1,15,16,6,Semi Furnished,"['Power Backup', 'Garden', 'Security']",8.72,5,11320303.84
P28071,Chandigarh,Studio,2473,1,2,3,30,20,Unfurnished,"['Swimming Pool', 'Wi-Fi', 'Garden', 'Elevator', 'Parking']",0.63,10,22924107.05
P95730,Hyderabad,Independent House,2715,3,2,20,18,11,Semi Furnished,"['Elevator', 'Parking', 'Club House', 'Power Backup', 'Security', 'Swimming Pool']",6.96,1,550049.43
P101696,Mumbai,Apartment,1301,2,3,12,16,11,Fully Furnished,"['Parking', 'Power Backup', 'Club House', 'Gym', 'Swimming Pool']",2.86,6,35269121.88
P70810,Ahmedabad,Independent House,857,2,4,15,13,19,Fully Furnished,"['Club House', 'Garden', 'Power Backup', 'Swimming Pool', 'Security']",3.5,10,47540695.22
P89767,Kolkata,Duplex,4095,1,2,8,24,0,Semi Furnished,"['Parking', 'Elevator', 'Gym']",3.84,7,14131905.86
P73163,Jaipur,Penthouse,2631,2,4,20,25,7,Semi Furnished,"['Wi-Fi', 'Elevator', 'Swimming Pool', 'Security', 'Club House', 'Power Backup']",3.76,9,5177467.73
P70201,Pune,Villa,2567,5,2,18,14,15,Unfurnished,"['Security', 'Elevator', 'Wi-Fi', 'Club House', 'Garden']",3.01,10,22330236.17
P103404,Kolkata,Penthouse,2396,2,1,9,29,2,Fully Furnished,"['Power Backup', 'Parking', 'Gym', 'Club House', 'Security', 'Garden']",0.74,4,13524211.35
P48117,Chandigarh,Penthouse,2543,1,2,9,18,14,Unfurnished,"['Security', 'Swimming Pool', 'Power Backup', 'Wi-Fi', 'Garden', 'Parking']",1.52,4,45502005.11
P56546,Mumbai,Independent House,2156,3,1,20,9,10,Semi Furnished,"['Garden', 'Elevator', 'Club House', 'Power Backup', 'Gym', 'Security']",9.45,5,32982119.64
P49332,Delhi,Studio,4122,4,1,17,28,9,Semi Furnished,"['Security', 'Swimming Pool', 'Elevator', 'Club House']",2.12,1,12893866.93
P62787,Bangalore,Villa,1221,2,1,15,24,19,Fully Furnished,"['Security', 'Elevator', 'Garden', 'Parking']",3.37,8,32170918.54
P68993,Jaipur,Independent House,546,5,2,20,13,16,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Elevator']",2.16,4,34908614.38
P54834,Delhi,Apartment,1054,5,3,1,6,12,Fully Furnished,"['Security', 'Gym', 'Garden', 'Club House', 'Swimming Pool']",5.25,10,22361650.95
P108126,Chandigarh,Duplex,2836,5,4,4,21,1,Semi Furnished,"['Club House', 'Security', 'Power Backup']",1.53,9,748367.65
P23174,Jaipur,Penthouse,2615,3,2,3,11,0,Fully Furnished,"['Garden', 'Wi-Fi', 'Parking', 'Power Backup']",1.21,7,3413638.14
P101379,Jaipur,Duplex,3939,1,1,16,27,11,Unfurnished,"['Power Backup', 'Wi-Fi', 'Garden', 'Elevator', 'Club House', 'Parking']",1.5,3,32580158.01
P38343,Hyderabad,Villa,4652,5,4,16,21,2,Unfurnished,"['Security', 'Wi-Fi', 'Parking', 'Garden', 'Club House', 'Elevator']",9.93,4,2524243.07
P73124,Pune,Penthouse,1751,2,2,9,25,8,Unfurnished,"['Gym', 'Security', 'Club House', 'Garden', 'Wi-Fi', 'Power Backup']",8.67,4,28937015.27
P51845,Bangalore,Apartment,2159,2,3,9,18,19,Fully Furnished,"['Security', 'Elevator', 'Club House', 'Power Backup', 'Gym', 'Garden']",6.25,9,36377675.57
P88288,Kolkata,Villa,3755,3,4,18,21,4,Unfurnished,"['Power Backup', 'Club House', 'Parking', 'Gym', 'Garden']",5.98,6,39482883.4
P102560,Hyderabad,Villa,3579,1,4,2,16,18,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Security', 'Club House']",3.18,6,11427929.51
P74843,Delhi,Apartment,2158,3,4,13,20,16,Unfurnished,"['Parking', 'Club House', 'Elevator', 'Wi-Fi', 'Swimming Pool']",2.5,8,30741923.46
P41110,Pune,Penthouse,2437,2,3,17,8,20,Semi Furnished,"['Security', 'Garden', 'Wi-Fi']",1.06,2,9818517.96
P70916,Jaipur,Apartment,3995,3,3,1,5,17,Semi Furnished,"['Wi-Fi', 'Security', 'Garden', 'Gym', 'Swimming Pool', 'Power Backup']",0.99,2,18794719.91
P55470,Hyderabad,Duplex,4691,1,1,9,6,10,Fully Furnished,"['Elevator', 'Security', 'Swimming Pool']",5.87,10,39980521.67
P77074,Jaipur,Apartment,1721,2,3,2,8,0,Unfurnished,"['Garden', 'Wi-Fi', 'Gym', 'Power Backup', 'Swimming Pool', 'Elevator']",7.75,6,43835421.15
P52756,Delhi,Duplex,4621,2,4,2,9,20,Semi Furnished,"['Security', 'Power Backup', 'Club House', 'Gym', 'Garden']",3.53,3,38508787.5
P90644,Chennai,Studio,4911,5,1,8,20,17,Fully Furnished,"['Elevator', 'Power Backup', 'Gym', 'Wi-Fi', 'Parking']",7.61,10,13048495.48
P13803,Chennai,Penthouse,2732,2,1,15,17,15,Unfurnished,"['Club House', 'Wi-Fi', 'Power Backup']",3.38,8,4726032.25
P40424,Mumbai,Studio,1674,1,4,2,17,9,Unfurnished,"['Swimming Pool', 'Garden', 'Club House']",7.22,6,33190328.21
P91952,Hyderabad,Independent House,1141,1,1,1,8,8,Fully Furnished,"['Elevator', 'Garden', 'Parking', 'Security', 'Swimming Pool', 'Wi-Fi']",9.11,8,1608298.68
P51195,Hyderabad,Apartment,890,3,1,10,5,10,Semi Furnished,"['Swimming Pool', 'Elevator', 'Security', 'Wi-Fi']",2.6,2,29377966.84
P88997,Chennai,Studio,1852,5,4,18,22,14,Unfurnished,"['Wi-Fi', 'Garden', 'Elevator']",5.38,2,23259629.8
P15555,Chandigarh,Studio,4240,2,1,10,24,5,Unfurnished,"['Elevator', 'Parking', 'Wi-Fi']",4.02,3,4606876.44
P10141,Hyderabad,Duplex,3273,5,4,17,22,19,Fully Furnished,"['Swimming Pool', 'Club House', 'Wi-Fi', 'Garden', 'Security', 'Gym']",1.43,7,18524076.09
P79989,Hyderabad,Studio,4414,2,1,14,16,3,Semi Furnished,"['Power Backup', 'Wi-Fi', 'Garden', 'Club House', 'Parking', 'Elevator']",4.26,9,39953334.94
P39332,Chennai,Villa,1525,2,3,2,15,9,Unfurnished,"['Garden', 'Club House', 'Elevator', 'Wi-Fi']",1.38,10,47838792.49
P47688,Pune,Apartment,2700,3,4,2,28,15,Semi Furnished,"['Garden', 'Wi-Fi', 'Club House', 'Security', 'Power Backup']",2.69,7,23175414.5
P61024,Chandigarh,Duplex,2896,2,2,19,22,19,Fully Furnished,"['Wi-Fi', 'Security', 'Club House', 'Garden', 'Parking']",9.79,3,9933220.28
P38028,Chennai,Apartment,3116,5,1,5,27,7,Fully Furnished,"['Wi-Fi', 'Swimming Pool', 'Club House', 'Garden', 'Parking']",6.04,3,5623223.87
P83041,Jaipur,Studio,3807,1,4,8,11,9,Semi Furnished,"['Gym', 'Swimming Pool', 'Club House', 'Parking', 'Power Backup', 'Security']",2.62,4,32422766.03
P91212,Bangalore,Villa,4319,5,3,3,6,11,Unfurnished,"['Swimming Pool', 'Parking', 'Gym', 'Club House', 'Wi-Fi', 'Power Backup']",9.12,8,38515042.14
P108497,Kolkata,Apartment,4289,5,2,20,16,5,Unfurnished,"['Power Backup', 'Security', 'Gym', 'Club House', 'Garden']",7.65,6,47058391.76
P71006,Pune,Villa,1625,4,3,18,25,4,Unfurnished,"['Elevator', 'Wi-Fi', 'Swimming Pool', 'Parking', 'Garden', 'Gym']",0.94,8,34194322.36
P98712,Ahmedabad,Studio,4607,1,4,19,30,11,Unfurnished,"['Elevator', 'Gym', 'Club House', 'Garden', 'Parking', 'Power Backup']",1.2,6,45073496.91
P103509,Hyderabad,Penthouse,1015,3,4,3,8,10,Fully Furnished,"['Club House', 'Parking', 'Power Backup', 'Garden', 'Elevator', 'Gym']",1.41,8,28204492.41
P89833,Hyderabad,Duplex,506,1,1,1,19,5,Semi Furnished,"['Parking', 'Garden', 'Elevator', 'Wi-Fi']",7.59,8,37941902.22
P104806,Kolkata,Villa,1044,4,3,4,11,20,Unfurnished,"['Swimming Pool', 'Security', 'Club House', 'Wi-Fi', 'Elevator']",2.14,9,12520327.18
P61253,Kolkata,Villa,1600,4,1,18,25,4,Semi Furnished,"['Parking', 'Swimming Pool', 'Security', 'Elevator']",1.34,7,29361642.55
P72628,Mumbai,Apartment,3895,4,3,17,14,17,Unfurnished,"['Wi-Fi', 'Swimming Pool', 'Security', 'Club House', 'Parking', 'Power Backup']",8.55,1,26345538.81
P60120,Pune,Independent House,4002,5,1,4,7,14,Semi Furnished,"['Security', 'Club House', 'Parking']",9.87,2,49908614.85
P15883,Delhi,Villa,512,2,3,6,30,11,Unfurnished,"['Wi-Fi', 'Garden', 'Parking', 'Swimming Pool', 'Security', 'Power Backup']",6.7,3,47849663.23
P47794,Jaipur,Duplex,4018,1,4,2,9,11,Fully Furnished,"['Wi-Fi', 'Garden', 'Parking']",3.75,9,17472183.83
P53377,Bangalore,Apartment,4380,4,4,12,27,9,Semi Furnished,"['Security', 'Elevator', 'Club House', 'Parking', 'Garden', 'Power Backup']",9.24,9,38470335.75
P85149,Mumbai,Independent House,953,2,4,8,6,0,Fully Furnished,"['Club House', 'Wi-Fi', 'Elevator']",5.69,7,49535661.83
P37630,Delhi,Apartment,3567,1,2,17,22,6,Unfurnished,"['Swimming Pool', 'Elevator', 'Club House', 'Parking']",5.17,1,30499178.92
P12472,Hyderabad,Duplex,3962,4,1,14,6,13,Semi Furnished,"['Parking', 'Gym', 'Security', 'Club House', 'Wi-Fi', 'Power Backup']",4.94,6,47987008.28
P20418,Chennai,Independent House,2579,4,4,2,14,17,Unfurnished,"['Elevator', 'Club House', 'Garden', 'Swimming Pool']",5.7,7,40465981.98
P29371,Chandigarh,Independent House,1063,1,4,8,29,19,Semi Furnished,"['Parking', 'Wi-Fi', 'Gym']",4.8,4,18720166.96
P105867,Jaipur,Apartment,2163,1,2,2,15,0,Unfurnished,"['Elevator', 'Garden', 'Parking', 'Security', 'Club House']",4.68,2,9513255.81
P78800,Chennai,Penthouse,588,5,4,20,6,14,Semi Furnished,"['Elevator', 'Swimming Pool', 'Security', 'Wi-Fi']",7.28,1,12805508.58
P107834,Kolkata,Independent House,895,4,4,6,25,5,Fully Furnished,"['Club House', 'Elevator', 'Parking']",1.89,1,571301.72
P99350,Delhi,Studio,3949,5,3,4,22,17,Fully Furnished,"['Wi-Fi', 'Garden', 'Swimming Pool', 'Gym', 'Power Backup']",6.21,10,30332936.73
P101875,Jaipur,Apartment,3216,5,1,17,14,15,Semi Furnished,"['Swimming Pool', 'Elevator', 'Wi-Fi', 'Parking', 'Gym', 'Power Backup']",1.42,5,23797122.07
P45855,Jaipur,Independent House,1122,1,1,16,10,7,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Club House', 'Wi-Fi', 'Security', 'Elevator']",7.6,6,15273524.1
P106952,Mumbai,Duplex,4413,2,1,3,11,20,Semi Furnished,"['Elevator', 'Garden', 'Wi-Fi', 'Gym', 'Security']",6.34,4,46154115.75
P67429,Chandigarh,Duplex,1246,3,1,5,22,14,Semi Furnished,"['Garden', 'Club House', 'Power Backup', 'Wi-Fi', 'Security', 'Gym']",8.7,5,41168795.4
P69093,Mumbai,Villa,2006,4,1,9,19,5,Fully Furnished,"['Parking', 'Gym', 'Power Backup', 'Club House', 'Security']",4.91,6,21510145.68
P37922,Bangalore,Apartment,2529,5,1,6,7,10,Fully Furnished,"['Wi-Fi', 'Swimming Pool', 'Garden', 'Power Backup', 'Gym']",4.07,2,38546522.25
P52962,Chennai,Villa,655,2,3,6,10,16,Unfurnished,"['Elevator', 'Parking', 'Club House', 'Garden', 'Gym', 'Security']",4.44,9,15029634.6
P51060,Bangalore,Penthouse,1964,2,3,15,18,2,Unfurnished,"['Garden', 'Security', 'Gym', 'Club House']",0.81,8,1443196.21
P87469,Chandigarh,Penthouse,3549,2,4,6,20,4,Semi Furnished,"['Club House', 'Wi-Fi', 'Swimming Pool', 'Gym']",7.59,10,26260814.62
P85071,Chandigarh,Penthouse,2199,5,2,11,6,13,Unfurnished,"['Security', 'Elevator', 'Power Backup']",6,8,5928929.17
P40831,Bangalore,Penthouse,3746,4,1,6,22,20,Fully Furnished,"['Garden', 'Wi-Fi', 'Elevator', 'Parking']",9.6,7,10476611.5
P71185,Delhi,Apartment,1381,5,2,13,10,7,Semi Furnished,"['Swimming Pool', 'Club House', 'Power Backup', 'Gym', 'Wi-Fi']",2.32,5,14350189.09
P19264,Pune,Penthouse,4751,1,1,17,18,18,Unfurnished,"['Parking', 'Garden', 'Gym', 'Security', 'Elevator']",6.76,3,38001849.86
P39817,Chandigarh,Studio,3813,3,1,17,5,4,Fully Furnished,"['Power Backup', 'Wi-Fi', 'Parking', 'Garden']",9.7,1,37138692.11
P14866,Jaipur,Apartment,1117,3,4,11,14,5,Semi Furnished,"['Garden', 'Gym', 'Swimming Pool']",6.73,8,14226041.99
P88923,Kolkata,Villa,1498,4,4,14,29,0,Fully Furnished,"['Club House', 'Garden', 'Elevator']",2.51,5,47209144.04
P78918,Mumbai,Villa,2393,2,1,17,10,9,Unfurnished,"['Security', 'Club House', 'Garden', 'Parking', 'Gym', 'Swimming Pool']",4.12,1,24584795.02
P95953,Pune,Penthouse,2642,5,3,3,29,11,Semi Furnished,"['Gym', 'Parking', 'Swimming Pool', 'Security', 'Garden', 'Elevator']",3.31,1,19761030.38
P90509,Chandigarh,Villa,1209,3,3,6,16,6,Unfurnished,"['Wi-Fi', 'Elevator', 'Garden', 'Power Backup', 'Gym']",7.93,9,36650978.29
P58816,Mumbai,Apartment,574,2,3,16,29,6,Unfurnished,"['Power Backup', 'Gym', 'Garden']",2.26,7,6239926.07
P10588,Kolkata,Penthouse,4557,1,1,10,17,6,Unfurnished,"['Wi-Fi', 'Power Backup', 'Security']",3.93,6,25367186.59
P95595,Mumbai,Penthouse,4002,5,1,20,7,16,Fully Furnished,"['Parking', 'Swimming Pool', 'Power Backup', 'Security', 'Elevator']",3.98,3,13432677.73
P55021,Chandigarh,Studio,1195,2,2,15,29,0,Semi Furnished,"['Wi-Fi', 'Gym', 'Club House', 'Parking', 'Security']",6.71,4,19706643.72
P24579,Chennai,Penthouse,941,3,4,17,25,3,Fully Furnished,"['Parking', 'Gym', 'Security', 'Club House']",4.46,6,28638145.45
P101634,Mumbai,Villa,1528,2,2,10,26,10,Semi Furnished,"['Garden', 'Wi-Fi', 'Gym']",1.36,1,25481211.02
P31405,Chennai,Independent House,3258,5,3,9,22,8,Semi Furnished,"['Gym', 'Elevator', 'Parking', 'Club House', 'Wi-Fi', 'Security']",2.39,9,49749593.16
P20719,Delhi,Penthouse,3917,1,4,3,13,3,Unfurnished,"['Garden', 'Gym', 'Parking', 'Elevator', 'Swimming Pool']",7.42,7,32800825.97
P47032,Jaipur,Duplex,2680,4,1,3,15,5,Fully Furnished,"['Wi-Fi', 'Power Backup', 'Club House', 'Gym']",0.72,10,5989171.8
P94295,Jaipur,Independent House,4218,5,2,4,12,20,Semi Furnished,"['Wi-Fi', 'Power Backup', 'Swimming Pool', 'Parking', 'Elevator']",5.17,5,49862447.42
P30525,Chandigarh,Villa,2130,3,4,1,25,10,Unfurnished,"['Gym', 'Club House', 'Wi-Fi']",7.28,2,20423477.62
P80685,Mumbai,Independent House,4705,2,3,1,25,17,Semi Furnished,"['Elevator', 'Wi-Fi', 'Gym', 'Security', 'Power Backup', 'Swimming Pool']",4.39,5,18203249.43
P33765,Delhi,Independent House,723,1,4,13,26,15,Unfurnished,"['Gym', 'Security', 'Swimming Pool']",4.31,1,43985727.19
P29258,Hyderabad,Studio,3169,4,4,15,23,6,Unfurnished,"['Elevator', 'Gym', 'Parking', 'Garden', 'Power Backup', 'Swimming Pool']",9.26,2,22559789.72
P45172,Chennai,Apartment,2213,5,2,14,13,6,Semi Furnished,"['Wi-Fi', 'Club House', 'Security', 'Power Backup', 'Elevator']",2.98,6,10095800.97
P97823,Ahmedabad,Independent House,1213,3,2,19,26,15,Fully Furnished,"['Elevator', 'Club House', 'Garden']",7.19,5,29659334.44
P55686,Delhi,Villa,4845,4,4,15,19,5,Unfurnished,"['Wi-Fi', 'Garden', 'Gym', 'Club House']",3.03,10,47925707.15
